fecha,anio,mes,mes_nombre,grupo_residencia_principal,grupo_residencia_detalle,aeropuerto,valor,total_ytd_archivo,unidad,fuente_archivo
2026-02-28,2026,2,Febrero,NO RESIDENTES,EXTRANJEROS,PUNTA CANA,511627.3672129336,1630565.536214757,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,EXTRANJEROS,PUNTA CANA,603773.6988818833,1630565.536214757,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,EXTRANJEROS,LA ROMANA,13253.40870338374,37383.45307827234,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,EXTRANJEROS,LA ROMANA,11809.101174398733,37383.45307827234,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,EXTRANJEROS,LA ROMANA,12320.943200489863,37383.45307827234,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,EXTRANJEROS,MARÍA MONTEZ,2.0,8.0,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,EXTRANJEROS,MARÍA MONTEZ,4.0,8.0,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,NO RESIDENTES,EXTRANJEROS,MARÍA MONTEZ,2.0,8.0,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,NO RESIDENTES,EXTRANJEROS,CIBAO,24944.661838360495,89848.57004020427,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,NO RESIDENTES,EXTRANJEROS,CIBAO,31772.779215996627,89848.57004020427,pasajeros,lleg_total_2026.xls
