anio,concepto,valor,unidad,hoja_origen,fuente_archivo
2011,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.1589681603053295,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2012,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.18437169182637406,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2013,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.1938263022057299,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2014,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.17959076259880846,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2015,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.19303638649677715,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2016,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.21071736558840418,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2017,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.22869667311319167,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2018,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.22495206958398034,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2019,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.2384752628351051,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2020,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.29894208098542474,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2021,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.2619907208504125,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2022,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.2573627496839603,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2023,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.25665391598115017,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2024,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.23846270488493812,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2025,B. DEUDA INTERNA NETA (1+2+3+4) 6/,0.21479406988858749,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2000,1. Gobierno Central 4/ 7/,0.008740199361831876,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2001,1. Gobierno Central 4/ 7/,0.011828451492959398,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2002,1. Gobierno Central 4/ 7/,0.01067648382748042,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2003,1. Gobierno Central 4/ 7/,0.016962712288572157,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2004,1. Gobierno Central 4/ 7/,0.032398007765766235,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2005,1. Gobierno Central 4/ 7/,0.023014759578339865,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2006,1. Gobierno Central 4/ 7/,0.02441203106868825,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2007,1. Gobierno Central 4/ 7/,0.01822707899175383,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2008,1. Gobierno Central 4/ 7/,0.07564365699484901,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2009,1. Gobierno Central 4/ 7/,0.09909461807913855,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2010,1. Gobierno Central 4/ 7/,0.08705487716548473,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2011,1. Gobierno Central 4/ 7/,0.08319546951519521,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2012,1. Gobierno Central 4/ 7/,0.1031962870080843,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2013,1. Gobierno Central 4/ 7/,0.12681582282987647,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2014,1. Gobierno Central 4/ 7/,0.10874713286753311,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2015,1. Gobierno Central 4/ 7/,0.10490743854528063,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2016,1. Gobierno Central 4/ 7/,0.11351335094344016,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2017,1. Gobierno Central 4/ 7/,0.12684722552141806,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2018,1. Gobierno Central 4/ 7/,0.11696604367048707,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2019,1. Gobierno Central 4/ 7/,0.13278057517712813,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2020,1. Gobierno Central 4/ 7/,0.1706083992490488,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2021,1. Gobierno Central 4/ 7/,0.14598505185421787,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2022,1. Gobierno Central 4/ 7/,0.1333616393115822,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2023,1. Gobierno Central 4/ 7/,0.130454510237311,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2024,1. Gobierno Central 4/ 7/,0.13429902833811852,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2025,1. Gobierno Central 4/ 7/,0.1251428245151319,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2000,2. Resto del SPNF 8/,0.010577839759217505,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2001,2. Resto del SPNF 8/,0.012675602972040156,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2002,2. Resto del SPNF 8/,0.01835230961223553,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2003,2. Resto del SPNF 8/,0.00983415163788827,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2004,2. Resto del SPNF 8/,0.012494279618933011,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2005,2. Resto del SPNF 8/,0.0041323536859354335,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2006,2. Resto del SPNF 8/,0.004787290992051447,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2007,2. Resto del SPNF 8/,0.00451084485686181,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2008,2. Resto del SPNF 8/,0.007375313625406529,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
